word,count
b'\xb4\xee\x99C',1
b'\xc5\x93',1
b'Fw',284
b'\xb6\xed\xc1_\xcb\xb9\xd7\xe3\x85f',1
b'\xc5c',108
b'\xd6\xf7\x8e\x9b\xc0m\xba\x9e',1
b'+',59
b'\xba\xcf\xbcs',2
b'28',602
b'realtw',12
b'\xc8\xd5\xb1\xbe',424
b'\xc7\xb0\xd6\xf7\x8e\x9b',2
b'\xb9\xfe\xc0\xfb',1
b'\xbb\xf4\xbc\xbe',1
b'\xc6\xe6\xa0\xee',1
b'\xb8\xe6\xd7\xe3',1
b'\x85f\xb0\xb8',1
b'\xe9_\x8c\x8f',1
b'Osorio',1
b'\xb2\xbb\xc0m',1
b'\xc8\xce',3
b'sadmodand',1
b'19',455
b'\xdfB\xbdY',86
b'\x87\xf8\xebH\xb9\xda',1
b'\xdc\x8a',149
b'VS',69
b'\xb0\xcd\xc0\xe8',11
b'\xc2}',4
b'\xc8\xd5\xb6\xfa\xc2\xfc',7
b'\x83\xc8\xf1R\xa0\x96\xd7\x83',2
b'\xd9\x80\xc9\xf1',1
b'\xb5\xc2\xd6\xdd',1
b'\x93\xe4\xbf\xcb\xd9\x90',1
b'\xb5\xda',47
b'\xd9\x8d',15
b'65',18
b'\xc8f',31
b'38',59
b'\xcd\xe2\xc3\xbd',4
b'\xc6\xd8\xc3\xb7',1
b'\xce\xf7\xee\x8a',1
b'\xc1\xf4',2
b'\xb0\xa2\xb8\xf9\xcd\xa2',523
b'\xb5\xab\xed\x9a',2
b'\x9dM\xd7\xe3',5
b'\xc9\xea\xdek',13
b'\xd2\xc9\x8aW\xb2\xbd',1
b'\xbf\xa8\xdf_',23
b'\xd4\xe2',34
b'\xb1\xac\xc1\xcf',6
b'\xca\xb9\xd3\xc3',9
b'\xb0\xb5\xba\xda',1
b'\xca\xd6',30
b'\xb0\xa3',2
b'\xc3\xb7\xc0\xef',1
b'\x95\xfe\x9e\xe9',1
b'\xb6\xf2',6
b'\xfdR\xa0\x96',4
b'\xb6\xa8\xd6\xc6',1
b'\xd7\xee\xbc\xd1',43
b'\xce\xbb\xd6\xc3',6
b'\xcb\xfb',56
b'\xca\xc7\xae\x94',1
b'\xd7\xe3\x85f',26
b'\xcf\xeb\xc0m',1
b'\xbcs',12
b'\xb8\xe7\xbc\xae',1
b'\xbd\xcc\xee^',45
b'\xd5f',70
b'\xb2\xbb',247
b'hazel0093',1
b'\x86\x96\xd8\xd4',5
b'2006',9
b'\xc1x',32
b'\xb4\xf3\xc0\xfb',36
b'\xca\xc7',506
b'\xc9\xf5\xfcN',20
b'\xcb\xae\x9c\xca',9
b'\xa3\xac',391
b'\xb4\xf2\xb7\xa8',6
b'\x87\xf8\x95\xfe\xdaA',2
b'\x86\xe1',721
b'\xa3\xbf',1199
b'30',324
b'\xc3\xc0\xd7\xe3',2
b'\xc2\x93\xd9\x90\xca\xd7',1
b'\xdfM\xc7\xf2',134
b'\xf4\x94\xc4\xe1',7
b'\xb7\xc0\xca\xd8',45
b'\xb0\xa4\xd7\xb2',1
b'\xd1\xaa\xc1\xf7\xc8\xe7\xd7\xa2',1
b'\xd0\xc2',15
b'\xd6\xfa',4
b'\xc6\xcf\xcc\xd1\xd1\xc0',80
b'\x9aW\xe5\\\x8aZ',1
b'\xb9\xda',90
b'\xc4\xea\xc7\xb0',18
b'\xd4\xf8',19
b'\xba\xcf\xd3\xb0',2
b'tim1112',11
b'wenen',2
b'\xd0\xc4\xb5\xc3',658
b'\xb9\xd9\xb7\xbd',16
b'\xbeW\xd3\xd1\xc6\xb1',4
b'\xdfx',18
b'\xba\xc3\xc7\xf2',8
b'\xbd\xe2\xd5f',1
b'\xe9f\xc1\xc4',59
b'\x9av\xca\xb7',42
b'\xc9\xcf',86
b'\xbd\xf1\xcc\xec',55
b'chewie',5
b'\xd7\xdf\xdfM',2
b'\xe5\\\x98\xcb\xd9\x90',1
b'\xa3\xad',10
b'\xca\xa2\xd1\xe7',1
b'\xc9\xa2\x88\xf6',1
b'\xe1\xe1',224
b'24',475
b'ppdev',1
b'272',23
b'\x94\xb5\x93\xfe',49
b'awhat',14
b'\xbe\xdc\x9e\xe9',2
b'\xd0\xa7\xc1\xa6',4
b'\xd5\xf0\xf3@\xb5\xc2\x87\xf8',1
b'\xc9\xe7\x95\xfe',1
b'khsiuol',17
b'\xcd\xcb\xb3\xf6',22
b'56',32
b'\x8c\xa3\x99\xda',3
b'Ozil',4
b'\x9e\xe9\xb5\xc2\x87\xf8',1
b'\xd5\xe6\xd0\xc4',4
b'\xb7\xee\xabI',1
b'\xc8\xd4',16
b'\x94\xb3\xb7N\xd7\xe5',1
b'CHERYL7',11
b'\xd6\xd8\xcb\xbc\xb5\xc2\x87\xf8',1
b'\x87\xf8\xd7\xe3',14
b'\xa3\xaf',82
b'\xd7\xe5',2
b'\xd6\xf7\xc1x',2
b'mbeki',2
b'21',323
b'\xa1\xb7',119
b'\xb0\xdd\xc8\xca',12
b'\xbf\x82\xb2\xc3',1
b'\xb9\xab\xe9_',6
b'\xa1\xb8',206
b'\xdf@\x8e\xd7\xc4\xea',4
b'leviliebe',4
b'\xc3\xbd\xf3w\xd4u',1
b'\xca\xc2\xbc\xfe',7
b'\xd2\xc6\xc3\xf1',7
b'\xc8\xda\xba\xcf',1
b'\xbf\xd5\xd6\xd0',3
b'\xe9w\x98\xc7',1
b'iloveumoneyc',8
b'The',3
b'Best',1
b'FIFA',186
b'Men',1
b"'",10
b's',9
b'Player',1
b'\xc8\xeb',5
b'\x87\xfa\xd5\xdf',1
b'iamnotgm',2
b'73',21
b'\x86\x96\xee}',2018
b'Ronaldinho',6
b'\xc4\xb3\x82\x80',2
b'\xcd\xa3',4
b'\xb8\xdf\xbf\xd5',4
b'\xc7\xf2\x84\xd3\xd7\xf7',1
b'\xd4\xf5\xfcN',183
b'\xd7\xf6',28
b'?',1363
b'25',362
b'momocom',12
b'\xcd\xc1\xb6\xfa\xc6\xe4',5
b'\xbf\x82\xbdy',24
b'\xca\xa2',10
b'\xd7\x93',31
b'\xfdR',1
b'\xa0\x96',6
b'\x9f\xe1\x90\xdb\x87\xf8\xbc\xd2',1
b'\xc3\xf1\xd7\xe5',4
b'\xa1\xb9',185
b'18',546
b'\xd5\xb2\xbb\xca',3
b'\xd0\xe8\xd2\xaa',9
b'\xebS\x95r',1
b'\x81\xed\xeb\x8a',1
b'\xc8\xf0\xb5\xe4',109
b'\xcf\xc8\xc9\xfa',12
b'26',335
b'81',10
b'\xb4\xf3\xdfM\xc7\xf2',4
b'ddkkz2003',7
b'\xc9\xad\xb1\xa3\xd2\xbb',1
b'\xbd\xd3\xc8\xce',2
b'\xbf\x82\xbd\xcc\xbe\x9a',22
b'Aurona',1
b'denverkober',4
b'13',484
b'NTUMuller',1
b'46',48
b'\xcd\xdb',1
b'\xbf\xbf',25
b'\xd2\xb0\xc9\xfa',1
b'\xd7\xf3',12
b'\xba\xc3\xd3\xd1',4
b'\xbd\xd2\xc3\xd8',3
b'\xd5\xe6\x8c\x8d',3
b'\xb2\xee\xfcc',5
b'\xb4\xf2',64
b'\xc6\xb9\xc5\xd2\xc7\xf2',1
b'\xd2\xbb\xfcc',8
b'\xc9\xb3',2
b'\xbb\xf9\xc0\xfb',1
b'\xbb\xd8\x91\xaa',8
b'\xc3\xfb\xcb\xde',7
b'\xb8\xf9\xb1\xbe',16
b'\xb2\xbb\xcf\xb2\x9ag',1
b'\xc0\xfb\xce\xef',1
b'43',37
b'\xca\xc0\xd7\xe3',301
b'\xc8\xcb\xba\xf2',3
b'\xc3\xb7\xce\xf7',279
b'\xeeI\xe3\x95',3
